DP Date;P Produit;c Chute;reincorpo_maxi(p, dp, c)
2022-04-22 00:00:00;product_2;chute_11;3612
2022-04-23 00:00:00;product_2;chute_11;3612
2022-04-24 00:00:00;product_2;chute_11;3612
2022-03-22 00:00:00;product_7;chute_11;2671
2022-03-23 00:00:00;product_7;chute_11;2671
2022-03-24 00:00:00;product_7;chute_11;2671
2022-03-26 00:00:00;product_7;chute_11;2671
2022-03-27 00:00:00;product_7;chute_11;2671
2022-03-28 00:00:00;product_7;chute_11;2671
2022-03-30 00:00:00;product_7;chute_11;2671
2022-03-31 00:00:00;product_7;chute_11;2671
2022-04-01 00:00:00;product_7;chute_11;2671
2022-04-03 00:00:00;product_7;chute_11;2660
2022-04-04 00:00:00;product_7;chute_11;2660
2022-04-05 00:00:00;product_7;chute_11;2660
2022-04-06 00:00:00;product_7;chute_11;2660
2022-04-08 00:00:00;product_7;chute_11;2660
2022-04-09 00:00:00;product_7;chute_11;2660
2022-04-10 00:00:00;product_7;chute_11;2660
2022-04-11 00:00:00;product_7;chute_11;2660
2022-04-13 00:00:00;product_7;chute_11;2660
2022-04-14 00:00:00;product_7;chute_11;2660
2022-04-15 00:00:00;product_7;chute_11;2694
2022-04-16 00:00:00;product_7;chute_11;2694
2022-04-18 00:00:00;product_7;chute_11;2694
2022-04-19 00:00:00;product_7;chute_11;2694
2022-04-20 00:00:00;product_7;chute_11;2694
2022-04-21 00:00:00;product_7;chute_11;2694
2022-04-22 00:00:00;product_7;chute_11;2694
2022-04-23 00:00:00;product_7;chute_11;2694
2022-04-25 00:00:00;product_7;chute_11;2694
2022-04-26 00:00:00;product_7;chute_11;2694
2022-04-27 00:00:00;product_7;chute_11;2648
2022-04-28 00:00:00;product_7;chute_11;2648
2022-04-29 00:00:00;product_7;chute_11;2648
2022-04-30 00:00:00;product_7;chute_11;2648
2022-05-01 00:00:00;product_7;chute_11;2648
2022-05-03 00:00:00;product_7;chute_11;2648
2022-05-04 00:00:00;product_7;chute_11;2648
2022-05-05 00:00:00;product_7;chute_11;2648
2022-03-24 00:00:00;product_10;chute_11;1220
2022-03-25 00:00:00;product_10;chute_11;1220
2022-03-26 00:00:00;product_10;chute_11;1220
2022-04-01 00:00:00;product_10;chute_11;1220
2022-04-02 00:00:00;product_10;chute_11;1220
2022-04-03 00:00:00;product_10;chute_11;1196
2022-04-14 00:00:00;product_10;chute_11;1196
2022-04-15 00:00:00;product_10;chute_11;1208
2022-04-16 00:00:00;product_10;chute_11;1208
2022-04-20 00:00:00;product_10;chute_11;1208
2022-04-21 00:00:00;product_10;chute_11;1208
